index,ID_SITE_RATTACHE,HOSPI_CODE_UCD,MONTH,QUANTITY,N_UFS,DATE,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD,TREND,SEASONAL,RESID
108,HOSPI_1,3400892065366,2,4160.0,4.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-222.27372685185168,0.0
110,HOSPI_3,3400892065366,2,7580.0,9.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,26.19907407407514,0.0
111,HOSPI_4,3400892065366,2,19050.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-1066.3368055555557,0.0
112,HOSPI_1,3400892075761,2,1390.0,4.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,54.90682870370368,0.0
114,HOSPI_3,3400892075761,2,2350.0,6.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-63.506944444444365,0.0
115,HOSPI_4,3400892075761,2,10770.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,253.87152777777777,0.0
118,HOSPI_3,3400892088310,2,5126.0,7.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-390.2731481481487,0.0
120,HOSPI_1,3400892203645,2,1230.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-131.97685185185173,0.0
122,HOSPI_3,3400892203645,2,5500.0,8.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-847.1990740740737,0.0
123,HOSPI_4,3400892203645,2,10700.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-2203.9930555555557,0.0
124,HOSPI_1,3400892508566,2,3710.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,358.77488425925935,0.0
126,HOSPI_3,3400892508566,2,4360.0,2.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-639.0277777777775,0.0
127,HOSPI_4,3400892508566,2,6900.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,235.885416666667,0.0
130,HOSPI_3,3400892669236,2,10710.0,12.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-502.6001157407404,0.0
131,HOSPI_4,3400892669236,2,28980.0,2.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-723.9907407407397,0.0
132,HOSPI_1,3400892697789,2,1200.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-129.17939814814818,0.0
134,HOSPI_3,3400892697789,2,1990.0,2.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-116.116898148148,0.0
135,HOSPI_4,3400892697789,2,11190.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-1529.375,0.0
136,HOSPI_1,3400892729589,2,3767.0,4.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-1325.6487268518517,0.0
138,HOSPI_3,3400892729589,2,5890.0,8.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-249.1956018518523,0.0
139,HOSPI_4,3400892729589,2,15330.0,2.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,2736.2326388888887,0.0
140,HOSPI_1,3400892745848,2,7670.0,6.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,237.8680555555557,0.0
142,HOSPI_3,3400892745848,2,500.0,2.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,6.724537037037031,0.0
143,HOSPI_4,3400892745848,2,10860.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,1443.107638888889,0.0
144,HOSPI_1,3400892761527,2,5195.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-429.4438657407411,0.0
146,HOSPI_3,3400892761527,2,28400.0,21.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-198.86747685185338,0.0
147,HOSPI_4,3400892761527,2,6400.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,809.2881944444448,0.0
148,HOSPI_1,3400892761695,2,1840.0,2.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,54.377314814814724,0.0
150,HOSPI_3,3400892761695,2,26469.0,12.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-425.89583333333275,0.0
151,HOSPI_4,3400892761695,2,10160.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,170.3877314814812,0.0
152,HOSPI_1,3400893022634,2,2499.0,5.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-109.07523148148144,0.0
154,HOSPI_3,3400893022634,2,3407.0,1.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-82.512152777778,0.0
156,HOSPI_1,3400893736135,2,2629.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,16.93749999999976,0.0
158,HOSPI_3,3400893736135,2,6320.0,8.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-113.91203703703782,0.0
159,HOSPI_4,3400893736135,2,4450.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-700.1562500000003,0.0
160,HOSPI_1,3400893826706,2,3197.0,2.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-339.85590277777806,0.0
162,HOSPI_3,3400893826706,2,8077.0,7.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-107.37615740740728,0.0
163,HOSPI_4,3400893826706,2,6900.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-277.0775462962961,0.0
164,HOSPI_1,3400893875490,2,8598.0,10.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-287.68749999999955,0.0
166,HOSPI_3,3400893875490,2,15392.0,17.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-1022.74189814815,0.0
167,HOSPI_4,3400893875490,2,28301.0,2.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-1222.0671296296282,0.0
168,HOSPI_1,3400890837149,3,1610.0,3.0,2016-03-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-136.681712962963,0.0
170,HOSPI_3,3400890837149,3,4780.0,5.0,2016-03-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-111.4525462962959,0.0
171,HOSPI_4,3400890837149,3,11600.0,1.0,2016-03-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,3414.17824074074,0.0
172,HOSPI_1,3400891191226,3,3541.0,7.0,2016-03-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-185.1475694444443,0.0
174,HOSPI_3,3400891191226,3,4630.0,9.0,2016-03-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,146.20486111111103,0.0
175,HOSPI_4,3400891191226,3,10240.0,1.0,2016-03-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,72.36111111111147,0.0
176,HOSPI_1,3400891225037,3,14380.0,8.0,2016-03-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-860.525462962963,0.0
178,HOSPI_3,3400891225037,3,7470.0,6.0,2016-03-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,1457.9282407407418,0.0
179,HOSPI_4,3400891225037,3,25200.0,2.0,2016-03-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,357.1064814814806,0.0
180,HOSPI_1,3400891235203,3,2400.0,5.0,2016-03-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-53.369212962962976,0.0
182,HOSPI_3,3400891235203,3,5430.0,11.0,2016-03-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,1410.9606481481483,0.0
183,HOSPI_4,3400891235203,3,8850.0,1.0,2016-03-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,861.2847222222222,0.0
184,HOSPI_1,3400891996128,3,57133.0,18.0,2016-03-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-3426.324074074073,0.0
186,HOSPI_3,3400891996128,3,113640.0,34.0,2016-03-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,6353.570601851847,0.0
