HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400892729589,1157.0,187.0,4.0,5001.0,539067.0,714.0,4060.0,0.17195913704488797,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400893826706,1157.0,187.0,4.0,5001.0,539067.0,714.0,1491.0,0.12963762237823126,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400892697789,1157.0,187.0,1.0,5001.0,539067.0,714.0,480.0,0.14366148837530182,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892761695,1157.0,187.0,13.0,5001.0,539067.0,714.0,16475.0,0.17425784007562686,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892088310,1157.0,187.0,4.5,5001.0,539067.0,714.0,2688.0,0.18060925898124686,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400891191226,1157.0,187.0,4.5,5001.0,539067.0,714.0,2530.0,0.1731903226434378,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892203645,1157.0,187.0,6.0,5001.0,539067.0,714.0,3335.0,0.16607555703807397,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400891235203,1157.0,187.0,4.0,5001.0,539067.0,714.0,1400.0,0.19913096006794997,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,1157.0,187.0,11.0,5001.0,539067.0,714.0,11735.0,0.16912382950449462,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892745848,1157.0,187.0,7.0,5001.0,539067.0,714.0,3700.0,0.16907789060015055,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400892669236,1157.0,187.0,10.5,5001.0,539067.0,714.0,7737.0,0.16234003530733865,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400893875490,1157.0,187.0,11.5,5001.0,539067.0,714.0,9263.0,0.1851586416585947,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400891996128,1157.0,187.0,25.0,5001.0,539067.0,714.0,62510.0,0.16078276184070375,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893826706,1157.0,187.0,5.5,5001.0,539067.0,714.0,1971.0,0.14184444211751546,75420.0,1236.0,261.0,2017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
