HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400892729589,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,19650.0,0.17123510336758196,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400893875490,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,20210.0,0.17941992382806007,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8180.0,0.16257232980545006,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6500.0,0.2018558450232525,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400891191226,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,6080.0,0.1500656819667335,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893736135,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,7380.0,0.12800818713873166,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4950.0,0.1830673534817087,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400892745848,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,13440.0,0.15736029580691926,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400890837149,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,15400.0,0.1400959194056262,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891996128,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,226500.0,0.1569221664296157,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892203645,4536.0,470.0,1.5,15604.0,1835903.0,2526.0,12150.0,0.15631905213618869,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400891191226,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8420.0,0.14982344519196877,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892075761,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8760.0,0.16271825062133968,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892729589,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,16920.0,0.17623811355417615,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8920.0,0.15490148928190522,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8950.0,0.18387538216202864,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4450.0,0.11675358193368214,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892669236,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,20520.0,0.12863279298524893,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
