CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
2,2017-06-01,3400893826706,1157.0,187.0,6,4.0,5001.0,539067.0,714.0,1491.0,1444.3333333333333,75420.0,1236.0,261.0,22,2017,1
3,2017-06-01,3400892729589,1157.0,187.0,6,4.5,5001.0,539067.0,714.0,4060.0,4446.666666666667,75420.0,1236.0,261.0,22,2017,3
1,2017-06-01,3400890837149,1157.0,187.0,6,5.0,5001.0,539067.0,714.0,2470.0,2196.6666666666665,75420.0,1236.0,261.0,22,2017,4
14,2017-06-01,3400892761527,1157.0,187.0,6,11.0,5001.0,539067.0,714.0,11735.0,11983.333333333334,75420.0,1236.0,261.0,22,2017,3
18,2017-06-01,3400892508566,1157.0,187.0,6,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,22,2017,6
9,2017-06-01,3400892203645,1157.0,187.0,6,6.5,5001.0,539067.0,714.0,3335.0,3163.333333333333,75420.0,1236.0,261.0,22,2017,8
5,2017-06-01,3400892075761,1157.0,187.0,6,5.0,5001.0,539067.0,714.0,2010.0,2306.6666666666665,75420.0,1236.0,261.0,22,2017,0
3,2017-06-01,3400892052120,1157.0,187.0,6,3.0,5001.0,539067.0,714.0,1680.0,1643.3333333333333,75420.0,1236.0,261.0,22,2017,0
4,2017-06-01,3400892088310,1157.0,187.0,6,5.0,5001.0,539067.0,714.0,2688.0,3172.333333333333,75420.0,1236.0,261.0,22,2017,0
15,2017-07-01,3400893022634,1157.0,187.0,7,11.0,5001.0,539067.0,714.0,4374.0,4914.333333333333,75420.0,1236.0,261.0,26,2017,5
14,2017-07-01,3400892761527,1157.0,187.0,7,11.0,5001.0,539067.0,714.0,12445.0,12518.333333333334,75420.0,1236.0,261.0,26,2017,3
1,2017-07-01,3400890837149,1157.0,187.0,7,3.0,5001.0,539067.0,714.0,2010.0,2246.6666666666665,75420.0,1236.0,261.0,26,2017,4
3,2017-07-01,3400892052120,1157.0,187.0,7,5.0,5001.0,539067.0,714.0,1870.0,1803.3333333333333,75420.0,1236.0,261.0,26,2017,0
12,2017-07-01,3400891996128,1157.0,187.0,7,29.0,5001.0,539067.0,714.0,61410.0,63655.333333333336,75420.0,1236.0,261.0,26,2017,0
17,2017-07-01,3400892669236,1157.0,187.0,7,9.0,5001.0,539067.0,714.0,7429.0,7755.333333333333,75420.0,1236.0,261.0,26,2017,3
18,2017-07-01,3400892508566,1157.0,187.0,7,1.0,5001.0,539067.0,714.0,0.0,0.0,75420.0,1236.0,261.0,26,2017,6
13,2017-07-01,3400892065366,1157.0,187.0,7,8.0,5001.0,539067.0,714.0,4683.0,5154.0,75420.0,1236.0,261.0,26,2017,0
12,2017-07-01,3400893875490,1157.0,187.0,7,12.0,5001.0,539067.0,714.0,8194.0,8992.333333333334,75420.0,1236.0,261.0,26,2017,1
11,2017-07-01,3400891225037,1157.0,187.0,7,7.0,5001.0,539067.0,714.0,12932.0,13744.0,75420.0,1236.0,261.0,26,2017,2
14,2017-07-01,3400892761695,1157.0,187.0,7,12.0,5001.0,539067.0,714.0,15405.0,15783.333333333334,75420.0,1236.0,261.0,26,2017,3
3,2017-07-01,3400892729589,1157.0,187.0,7,7.0,5001.0,539067.0,714.0,3998.0,4249.333333333333,75420.0,1236.0,261.0,26,2017,3
6,2017-07-01,3400892745848,1157.0,187.0,7,10.0,5001.0,539067.0,714.0,2520.0,3380.0,75420.0,1236.0,261.0,26,2017,3
10,2017-07-01,3400891235203,1157.0,187.0,7,3.0,5001.0,539067.0,714.0,1030.0,1276.6666666666667,75420.0,1236.0,261.0,26,2017,2
16,2017-07-01,3400891191226,1157.0,187.0,7,6.0,5001.0,539067.0,714.0,2430.0,2526.6666666666665,75420.0,1236.0,261.0,26,2017,2
