CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
6,2017-07-01,3400892745848,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,9840.0,11700.0,254570.0,5.0,285.0,8464.0,26,2017,3
10,2017-07-01,3400891235203,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,3300.0,5350.0,254570.0,5.0,285.0,8464.0,26,2017,2
16,2017-07-01,3400891191226,4500.0,467.0,7,2.0,15650.0,1843319.0,2556.0,8400.0,9626.666666666666,254570.0,5.0,285.0,8464.0,26,2017,2
8,2017-07-01,3400892697789,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,12630.0,12060.0,254570.0,5.0,285.0,8464.0,26,2017,3
7,2017-07-01,3400893736135,4500.0,467.0,7,2.0,15650.0,1843319.0,2556.0,10610.0,9236.666666666666,254570.0,5.0,285.0,8464.0,26,2017,1
9,2017-07-01,3400892203645,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,8750.0,9616.666666666666,254570.0,5.0,285.0,8464.0,26,2017,0
4,2017-07-01,3400892088310,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,10070.0,6170.0,254570.0,5.0,285.0,8464.0,26,2017,0
2,2017-07-01,3400893826706,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,6700.0,5916.666666666667,254570.0,5.0,285.0,8464.0,26,2017,1
5,2017-07-01,3400892075761,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,11520.0,10220.0,254570.0,5.0,285.0,8464.0,26,2017,0
3,2017-08-01,3400892729589,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,16230.0,17010.0,254570.0,5.0,285.0,8464.0,31,2017,3
18,2017-08-01,3400892508566,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,5450.0,6483.333333333333,254570.0,5.0,285.0,8464.0,31,2017,3
5,2017-08-01,3400892075761,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,9600.0,10850.0,254570.0,5.0,285.0,8464.0,31,2017,0
8,2017-08-01,3400892697789,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,8730.0,10880.0,254570.0,5.0,285.0,8464.0,31,2017,3
17,2017-08-01,3400892669236,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,29574.0,27288.0,254570.0,5.0,285.0,8464.0,31,2017,3
9,2017-08-01,3400892203645,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,7250.0,8616.666666666666,254570.0,5.0,285.0,8464.0,31,2017,0
6,2017-08-01,3400892745848,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,5340.0,9260.0,254570.0,5.0,285.0,8464.0,31,2017,3
14,2017-08-01,3400892761527,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,6750.0,7000.0,254570.0,5.0,285.0,8464.0,31,2017,3
13,2017-08-01,3400892065366,4500.0,467.0,8,1.0,15650.0,1843319.0,2556.0,19680.0,19290.0,254570.0,5.0,285.0,8464.0,31,2017,0
