HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_HAD,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400891191226,2063.0,521.0,10.0,7129.0,1107398.0,1158.0,4380.0,0.1130333211499313,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400893875490,2063.0,521.0,17.0,7129.0,1107398.0,1158.0,12705.0,0.1154299264943501,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3400892088310,2063.0,521.0,6.0,7129.0,1107398.0,1158.0,5148.0,0.1275481166534695,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
3400893736135,2063.0,521.0,7.0,7129.0,1107398.0,1158.0,5420.0,0.1261843092699756,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
3400892745848,2063.0,521.0,1.0,7129.0,1107398.0,1158.0,160.0,0.0617000916734121,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
3400891996128,2063.0,521.0,36.0,7129.0,1107398.0,1158.0,98170.0,0.1147169604558877,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400891235203,2063.0,521.0,10.0,7129.0,1107398.0,1158.0,5100.0,0.132080250885241,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892065366,2063.0,521.0,8.0,7129.0,1107398.0,1158.0,6370.0,0.1090247914634329,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892761695,2063.0,521.0,12.0,7129.0,1107398.0,1158.0,24470.0,0.1194588363976122,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
3400892697789,2063.0,521.0,3.0,7129.0,1107398.0,1158.0,2470.0,0.1123508682246133,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
3400892669236,2063.0,521.0,12.0,7129.0,1107398.0,1158.0,10458.0,0.1203522504532899,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3400892729589,2063.0,521.0,8.0,7129.0,1107398.0,1158.0,5350.0,0.1135155658369501,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
3400892508566,2063.0,521.0,4.0,7129.0,1107398.0,1158.0,4610.0,0.1134137250500503,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
